Cohort,Product,Sub-Product,Key Label,Description,BusinessType,Key,Gross_BE,Gross_LossC_BE,Gross_RA,Gross_LossC_RA,Gross_CSM,Gross_Actual_BE,Gross_Actual_RA,Gross_Actual_CSM
2019,A001,ABC,Opening Balance,1-Opening,IF,MAP000, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Opening corrections,7-Additional premiums / premium corrections,IF,MAP001, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Actual Cash Inflows,Premium,NB,MAP002, -   , -   , -   , -   , -   , -   , -   ,283121927
2019,A001,ABC,Expected Cash Inflows,Premium,NB,MAP003, -   , -   , -   , -   , -   ,283121927, -   , -   
2019,A001,ABC,New Business,New business CSM,NB,MAP004,183638288, -   ,76515953.33, -   ,22954786, -   , -   , -   
2019,A001,ABC,New Business changes,NB Expense,NB,MAP005, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Model changes,model chnages,IF,MAP006,,,,,, -   , -   , -   
2019,A001,ABC,Discount Rate Unwind,NB CSM accretion,NB,MAP007, -   , -   , -   , -   ,331851, -   , -   , -   
2019,A001,ABC,Discount Rate Unwind,IF CSM accretion,IF,MAP007, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Discount Rate Unwind,new business unwind,NB,MAP007,6322642, -   ,855675, -   , -   , -   , -   , -   
2019,A001,ABC,Discount Rate Unwind,In force unwind of RDR,IF,MAP007,, -   ,, -   , -   , -   , -   , -   
2019,A001,ABC,Experience Variance,new business unwind,NB,MAP008,-1759360, -   ,-650308, -   ,-1409669, -   , -   , -   
2019,A001,ABC,Experience Variance,In force unwind of RDR,IF,MAP008,, -   ,414133, -   ,2099275, -   , -   , -   
2019,A001,ABC,Changes in economic assumptions,4-Demographic assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Changes in economic assumptions,5-Expense assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-67564, -   ,-507, -   , -   , -   , -   , -   
2019,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-402166, -   ,-4825, -   , -   , -   , -   , -   
2019,A001,ABC,Changes in non-economic assumptions,10-Economic assumption change (impact of discount rate change),NB,MAP010,-4531774, -   ,-422097, -   , -   , -   , -   , -   
2019,A001,ABC,Changes in non-economic assumptions,,NB,MAP010, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Changes in Risk adjustment stress assumptions,8-Risk adjustment stress assumption change,NB,MAP011, -   , -   ,360496, -   ,-360496, -   , -   , -   
2019,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   ,-103841751
2019,A001,ABC,Expected Cash Outflows,NB Claims and Expenses,NB,MAP013,-18363828.8, -   ,-3326, -   , -   ,-252815054,-4624745, -   
2019,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Expected Cash Outflows,IF Claims and Expenses,IF,MAP013,, -   ,-10663, -   , -   , -   , -   , -   
2019,A001,ABC,CSM Release,,NB,MAP014, -   , -   , -   , -   ,-2756117, -   , -   , -   
2019,A001,ABC,Actual Acquisition Expenses,InsuranceAcquisitionExpenses,NB,MAP015, -   , -   , -   , -   , -   , -   , -   ,-2727342
2019,A001,ABC,Expected Acquisition Expenses,,NB,MAP016, -   , -   , -   , -   , -   ,-2727342, -   , -   
2019,A001,ABC,Adjustment to liability for incurred claims,17-Adjustment to liability for incurred claims,NB,MAP017, -   , -   , -   , -   , -   , -   , -   ,-7604996
2019,A001,ABC,Losses/reversal of losses on onerous contracts,12-Losses/reversal of losses on onerous contracts,NB,MAP018, -   , -   , -   , -   , -   , -   , -   , -   
2019,A001,ABC,Closing,Closing Balance,NB,MAP019,164836237.2, -   ,77054531.33, -   ,20859630, -   , -   , -   
2020,A001,ABC,Opening Balance,1-Opening,IF,MAP000,164836237.2, -   ,77054531.33, -   ,20859630, -   , -   , -   
2020,A001,ABC,Opening corrections,7-Additional premiums / premium corrections,IF,MAP001,, -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Actual Cash Inflows,Premium,NB,MAP002, -   , -   , -   , -   , -   , -   , -   ,283121927
2020,A001,ABC,Expected Cash Inflows,Premium,NB,MAP003, -   , -   , -   , -   , -   ,283121927, -   , -   
2020,A001,ABC,New Business,New business CSM,NB,MAP004,192820202.4, -   ,80341751, -   ,25250264.6, -   , -   , -   
2020,A001,ABC,New Business changes,NB Expense,NB,MAP005, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Model changes,model chnages,IF,MAP006, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Discount Rate Unwind,NB CSM accretion,NB,MAP007, -   , -   , -   , -   ,365036.1, -   , -   , -   
2020,A001,ABC,Discount Rate Unwind,IF CSM accretion,IF,MAP007, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Discount Rate Unwind,new business unwind,NB,MAP007,6954906.2, -   ,941242.5, -   , -   , -   , -   , -   
2020,A001,ABC,Discount Rate Unwind,In force unwind of RDR,IF,MAP007,6322642, -   ,855675, -   , -   , -   , -   , -   
2020,A001,ABC,Experience Variance,In force unwind of RDR,NB,MAP008,-1935296, -   ,-715338.8, -   ,-1550635.9, -   , -   , -   
2020,A001,ABC,Experience Variance,In force unwind of RDR,IF,MAP008,-2000000, -   ,-2000000, -   ,2309202.5, -   , -   , -   
2020,A001,ABC,Changes in economic assumptions,4-Demographic assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Changes in economic assumptions,5-Expense assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-74320.4, -   ,-557.7, -   , -   , -   , -   , -   
2020,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-442382.6, -   ,-5307.5, -   , -   , -   , -   , -   
2020,A001,ABC,Changes in non-economic assumptions,10-Economic assumption change (impact of discount rate change),NB,MAP010,-4984951.4, -   ,-464306.7, -   , -   , -   , -   , -   
2020,A001,ABC,Changes in non-economic assumptions,,NB,MAP010, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Changes in Risk adjustment stress assumptions,8-Risk adjustment stress assumption change,NB,MAP011, -   , -   ,396545.6, -   ,-396545.6, -   , -   , -   
2020,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   ,-103841751
2020,A001,ABC,Expected Cash Outflows,NB Claims and Expenses,NB,MAP013,-19282020.24, -   ,-8034175.1, -   , -   ,-252815054,-4624745, -   
2020,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Expected Cash Outflows,IF Claims and Expenses,IF,MAP013,-36727657.6, -   ,-6652, -   , -   , -   , -   , -   
2020,A001,ABC,CSM Release,,NB,MAP014, -   , -   , -   , -   ,-3031728.7, -   , -   , -   
2020,A001,ABC,Actual Acquisition Expenses,InsuranceAcquisitionExpenses,NB,MAP015, -   , -   , -   , -   , -   , -   , -   ,-2727342
2020,A001,ABC,Expected Acquisition Expenses,,NB,MAP016, -   , -   , -   , -   , -   ,-2727342, -   , -   
2020,A001,ABC,Adjustment to liability for incurred claims,17-Adjustment to liability for incurred claims,NB,MAP017, -   , -   , -   , -   , -   , -   , -   ,-7604996
2020,A001,ABC,Losses/reversal of losses on onerous contracts,12-Losses/reversal of losses on onerous contracts,NB,MAP018, -   , -   , -   , -   , -   , -   , -   , -   
2020,A001,ABC,Closing,Closing Balance,NB,MAP019,305487359.6, -   ,148363407.6, -   ,43805223, -   , -   , -   
